"","id","block","choiceset","choice","quality_SQ","angling_SQ","access_SQ","surround_SQ","price_SQ","quality_1","angling_1","access_1","surround_1","price_1","quality_2","angling_2","access_2","surround_2","price_2","age","user","user_freq","distance","anglers","edu","house_inc"
"1",1,3,1,"2",1,0,0,0,0,3,1,0,1,650,2,1,1,1,200,31,6,0,1,2,5,6
"2",1,3,2,"1",1,0,0,0,0,1,0,0,1,200,1,1,0,0,1200,31,6,0,1,2,5,6
"3",1,3,3,"1",1,0,0,0,0,2,1,1,1,200,3,1,1,0,400,31,6,0,1,2,5,6
"4",1,3,4,"1",1,0,0,0,0,2,0,0,0,1200,1,1,0,1,75,31,6,0,1,2,5,6
"5",1,3,5,"1",1,0,0,0,0,3,1,1,1,1200,1,1,0,1,650,31,6,0,1,2,5,6
"6",1,3,6,"2",1,0,0,0,0,3,0,0,1,400,2,0,1,1,75,31,6,0,1,2,5,6
"7",1,3,7,"1",1,0,0,0,0,2,0,0,0,650,1,0,1,0,650,31,6,0,1,2,5,6
"8",1,3,8,"1",1,0,0,0,0,2,0,0,0,900,3,0,0,0,1200,31,6,0,1,2,5,6
"9",1,3,9,"2",1,0,0,0,0,1,1,1,0,400,3,0,0,1,900,31,6,0,1,2,5,6
"10",1,3,10,"2",1,0,0,0,0,1,1,1,0,75,2,1,1,0,900,31,6,0,1,2,5,6
"11",3,2,1,"SQ",1,0,0,0,0,3,1,0,1,650,3,0,0,0,200,31,6,NA,2,2,5,5
"12",3,2,2,"SQ",1,0,0,0,0,2,0,1,0,75,2,1,0,0,650,31,6,NA,2,2,5,5
"13",3,2,3,"SQ",1,0,0,0,0,1,0,1,1,650,1,0,0,1,400,31,6,NA,2,2,5,5
"14",3,2,4,"SQ",1,0,0,0,0,1,1,0,0,200,2,0,0,1,75,31,6,NA,2,2,5,5
"15",3,2,5,"SQ",1,0,0,0,0,3,1,1,0,650,3,1,0,0,75,31,6,NA,2,2,5,5
"16",3,2,6,"SQ",1,0,0,0,0,2,0,1,0,400,1,0,1,0,200,31,6,NA,2,2,5,5
"17",3,2,7,"SQ",1,0,0,0,0,1,0,0,1,900,3,1,1,1,1200,31,6,NA,2,2,5,5
"18",3,2,8,"SQ",1,0,0,0,0,3,0,1,0,900,2,1,1,1,200,31,6,NA,2,2,5,5
"19",3,2,9,"SQ",1,0,0,0,0,3,1,0,0,1200,2,0,1,0,1200,31,6,NA,2,2,5,5
"20",3,2,10,"SQ",1,0,0,0,0,2,1,0,1,200,1,0,1,1,900,31,6,NA,2,2,5,5
"21",4,1,1,"SQ",1,0,0,0,0,2,1,1,1,650,3,1,1,1,1200,29,2,0,2,2,5,3
"22",4,1,2,"SQ",1,0,0,0,0,3,1,1,0,75,1,0,0,1,1200,29,2,0,2,2,5,3
"23",4,1,3,"SQ",1,0,0,0,0,3,0,1,0,200,2,1,0,0,200,29,2,0,2,2,5,3
"24",4,1,4,"SQ",1,0,0,0,0,3,0,0,1,75,3,0,1,0,75,29,2,0,2,2,5,3
"25",4,1,5,"SQ",1,0,0,0,0,1,1,0,0,900,2,0,1,1,650,29,2,0,2,2,5,3
"26",4,1,6,"SQ",1,0,0,0,0,1,0,1,0,1200,3,1,0,1,200,29,2,0,2,2,5,3
"27",4,1,7,"SQ",1,0,0,0,0,2,0,0,0,650,2,1,0,1,900,29,2,0,2,2,5,3
"28",4,1,8,"SQ",1,0,0,0,0,3,1,0,0,400,1,1,1,0,400,29,2,0,2,2,5,3
"29",4,1,9,"SQ",1,0,0,0,0,1,0,0,1,1200,2,0,0,0,400,29,2,0,2,2,5,3
"30",4,1,10,"SQ",1,0,0,0,0,1,1,1,1,900,1,0,1,0,75,29,2,0,2,2,5,3
"31",5,3,1,"2",1,0,0,0,0,3,1,0,1,650,2,1,1,1,200,26,2,1,3,2,7,3
"32",5,3,2,"SQ",1,0,0,0,0,1,0,0,1,200,1,1,0,0,1200,26,2,1,3,2,7,3
"33",5,3,3,"1",1,0,0,0,0,2,1,1,1,200,3,1,1,0,400,26,2,1,3,2,7,3
"34",5,3,4,"2",1,0,0,0,0,2,0,0,0,1200,1,1,0,1,75,26,2,1,3,2,7,3
"35",5,3,5,"SQ",1,0,0,0,0,3,1,1,1,1200,1,1,0,1,650,26,2,1,3,2,7,3
"36",5,3,6,"2",1,0,0,0,0,3,0,0,1,400,2,0,1,1,75,26,2,1,3,2,7,3
"37",5,3,7,"SQ",1,0,0,0,0,2,0,0,0,650,1,0,1,0,650,26,2,1,3,2,7,3
"38",5,3,8,"SQ",1,0,0,0,0,2,0,0,0,900,3,0,0,0,1200,26,2,1,3,2,7,3
"39",5,3,9,"SQ",1,0,0,0,0,1,1,1,0,400,3,0,0,1,900,26,2,1,3,2,7,3
"40",5,3,10,"1",1,0,0,0,0,1,1,1,0,75,2,1,1,0,900,26,2,1,3,2,7,3
"41",6,3,1,"SQ",1,0,0,0,0,3,1,0,1,650,2,1,1,1,200,26,11,NA,2,2,5,4
"42",6,3,2,"SQ",1,0,0,0,0,1,0,0,1,200,1,1,0,0,1200,26,11,NA,2,2,5,4
"43",6,3,3,"SQ",1,0,0,0,0,2,1,1,1,200,3,1,1,0,400,26,11,NA,2,2,5,4
"44",6,3,4,"SQ",1,0,0,0,0,2,0,0,0,1200,1,1,0,1,75,26,11,NA,2,2,5,4
"45",6,3,5,"SQ",1,0,0,0,0,3,1,1,1,1200,1,1,0,1,650,26,11,NA,2,2,5,4
"46",6,3,6,"SQ",1,0,0,0,0,3,0,0,1,400,2,0,1,1,75,26,11,NA,2,2,5,4
"47",6,3,7,"SQ",1,0,0,0,0,2,0,0,0,650,1,0,1,0,650,26,11,NA,2,2,5,4
