"id","block","choiceset","choice","age","user","user_freq","distance","anglers","edu","house_inc","alt","quality","angling","access","surround","price","chid","ASC"
1,3,1,FALSE,31,6,0,1,2,5,6,"1",3,1,0,1,650,1,0
1,3,1,TRUE,31,6,0,1,2,5,6,"2",2,1,1,1,200,1,0
1,3,1,FALSE,31,6,0,1,2,5,6,"SQ",1,0,0,0,0,1,1
1,3,2,TRUE,31,6,0,1,2,5,6,"1",1,0,0,1,200,2,0
1,3,2,FALSE,31,6,0,1,2,5,6,"2",1,1,0,0,1200,2,0
1,3,2,FALSE,31,6,0,1,2,5,6,"SQ",1,0,0,0,0,2,1
1,3,3,TRUE,31,6,0,1,2,5,6,"1",2,1,1,1,200,3,0
1,3,3,FALSE,31,6,0,1,2,5,6,"2",3,1,1,0,400,3,0
1,3,3,FALSE,31,6,0,1,2,5,6,"SQ",1,0,0,0,0,3,1
1,3,4,TRUE,31,6,0,1,2,5,6,"1",2,0,0,0,1200,4,0
1,3,4,FALSE,31,6,0,1,2,5,6,"2",1,1,0,1,75,4,0
1,3,4,FALSE,31,6,0,1,2,5,6,"SQ",1,0,0,0,0,4,1
1,3,5,TRUE,31,6,0,1,2,5,6,"1",3,1,1,1,1200,5,0
1,3,5,FALSE,31,6,0,1,2,5,6,"2",1,1,0,1,650,5,0
1,3,5,FALSE,31,6,0,1,2,5,6,"SQ",1,0,0,0,0,5,1
1,3,6,FALSE,31,6,0,1,2,5,6,"1",3,0,0,1,400,6,0
1,3,6,TRUE,31,6,0,1,2,5,6,"2",2,0,1,1,75,6,0
1,3,6,FALSE,31,6,0,1,2,5,6,"SQ",1,0,0,0,0,6,1
1,3,7,TRUE,31,6,0,1,2,5,6,"1",2,0,0,0,650,7,0
1,3,7,FALSE,31,6,0,1,2,5,6,"2",1,0,1,0,650,7,0
1,3,7,FALSE,31,6,0,1,2,5,6,"SQ",1,0,0,0,0,7,1
1,3,8,TRUE,31,6,0,1,2,5,6,"1",2,0,0,0,900,8,0
1,3,8,FALSE,31,6,0,1,2,5,6,"2",3,0,0,0,1200,8,0
1,3,8,FALSE,31,6,0,1,2,5,6,"SQ",1,0,0,0,0,8,1
1,3,9,FALSE,31,6,0,1,2,5,6,"1",1,1,1,0,400,9,0
1,3,9,TRUE,31,6,0,1,2,5,6,"2",3,0,0,1,900,9,0
1,3,9,FALSE,31,6,0,1,2,5,6,"SQ",1,0,0,0,0,9,1
1,3,10,FALSE,31,6,0,1,2,5,6,"1",1,1,1,0,75,10,0
1,3,10,TRUE,31,6,0,1,2,5,6,"2",2,1,1,0,900,10,0
1,3,10,FALSE,31,6,0,1,2,5,6,"SQ",1,0,0,0,0,10,1
3,2,1,FALSE,31,6,NA,2,2,5,5,"1",3,1,0,1,650,11,0
3,2,1,FALSE,31,6,NA,2,2,5,5,"2",3,0,0,0,200,11,0
3,2,1,TRUE,31,6,NA,2,2,5,5,"SQ",1,0,0,0,0,11,1
3,2,2,FALSE,31,6,NA,2,2,5,5,"1",2,0,1,0,75,12,0
3,2,2,FALSE,31,6,NA,2,2,5,5,"2",2,1,0,0,650,12,0
3,2,2,TRUE,31,6,NA,2,2,5,5,"SQ",1,0,0,0,0,12,1
3,2,3,FALSE,31,6,NA,2,2,5,5,"1",1,0,1,1,650,13,0
3,2,3,FALSE,31,6,NA,2,2,5,5,"2",1,0,0,1,400,13,0
3,2,3,TRUE,31,6,NA,2,2,5,5,"SQ",1,0,0,0,0,13,1
3,2,4,FALSE,31,6,NA,2,2,5,5,"1",1,1,0,0,200,14,0
3,2,4,FALSE,31,6,NA,2,2,5,5,"2",2,0,0,1,75,14,0
3,2,4,TRUE,31,6,NA,2,2,5,5,"SQ",1,0,0,0,0,14,1
3,2,5,FALSE,31,6,NA,2,2,5,5,"1",3,1,1,0,650,15,0
3,2,5,FALSE,31,6,NA,2,2,5,5,"2",3,1,0,0,75,15,0
3,2,5,TRUE,31,6,NA,2,2,5,5,"SQ",1,0,0,0,0,15,1
3,2,6,FALSE,31,6,NA,2,2,5,5,"1",2,0,1,0,400,16,0
3,2,6,FALSE,31,6,NA,2,2,5,5,"2",1,0,1,0,200,16,0
3,2,6,TRUE,31,6,NA,2,2,5,5,"SQ",1,0,0,0,0,16,1
3,2,7,FALSE,31,6,NA,2,2,5,5,"1",1,0,0,1,900,17,0
3,2,7,FALSE,31,6,NA,2,2,5,5,"2",3,1,1,1,1200,17,0
3,2,7,TRUE,31,6,NA,2,2,5,5,"SQ",1,0,0,0,0,17,1
3,2,8,FALSE,31,6,NA,2,2,5,5,"1",3,0,1,0,900,18,0
3,2,8,FALSE,31,6,NA,2,2,5,5,"2",2,1,1,1,200,18,0
3,2,8,TRUE,31,6,NA,2,2,5,5,"SQ",1,0,0,0,0,18,1
3,2,9,FALSE,31,6,NA,2,2,5,5,"1",3,1,0,0,1200,19,0
3,2,9,FALSE,31,6,NA,2,2,5,5,"2",2,0,1,0,1200,19,0
3,2,9,TRUE,31,6,NA,2,2,5,5,"SQ",1,0,0,0,0,19,1
3,2,10,FALSE,31,6,NA,2,2,5,5,"1",2,1,0,1,200,20,0
3,2,10,FALSE,31,6,NA,2,2,5,5,"2",1,0,1,1,900,20,0
3,2,10,TRUE,31,6,NA,2,2,5,5,"SQ",1,0,0,0,0,20,1
4,1,1,FALSE,29,2,0,2,2,5,3,"1",2,1,1,1,650,21,0
4,1,1,FALSE,29,2,0,2,2,5,3,"2",3,1,1,1,1200,21,0
4,1,1,TRUE,29,2,0,2,2,5,3,"SQ",1,0,0,0,0,21,1
4,1,2,FALSE,29,2,0,2,2,5,3,"1",3,1,1,0,75,22,0
4,1,2,FALSE,29,2,0,2,2,5,3,"2",1,0,0,1,1200,22,0
4,1,2,TRUE,29,2,0,2,2,5,3,"SQ",1,0,0,0,0,22,1
4,1,3,FALSE,29,2,0,2,2,5,3,"1",3,0,1,0,200,23,0
4,1,3,FALSE,29,2,0,2,2,5,3,"2",2,1,0,0,200,23,0
4,1,3,TRUE,29,2,0,2,2,5,3,"SQ",1,0,0,0,0,23,1
4,1,4,FALSE,29,2,0,2,2,5,3,"1",3,0,0,1,75,24,0
4,1,4,FALSE,29,2,0,2,2,5,3,"2",3,0,1,0,75,24,0
